node_id,name,node_type,node_type_cn,source,confidence
N00001,P2O5 含量,GeochemicalIndicator,地球化学指标,P2O5 含量和矿层厚度是评价磷矿资源潜力的重要指标。,0.86
N00002,体主要赋存于寒武系梅树村组,StratigraphicUnit,地层单元,羊场磷矿床位于滇东北地区，矿体主要赋存于寒武系梅树村组含磷岩系中。,0.8
N00003,厚度,ResourceAttribute,资源属性,P2O5 含量和矿层厚度是评价磷矿资源潜力的重要指标。,0.78
N00004,含磷岩系,OreBearingHorizon,含矿层位,羊场磷矿床位于滇东北地区，矿体主要赋存于寒武系梅树村组含磷岩系中。,0.78
N00005,含磷白云岩,Lithology,岩性,含矿岩性主要为磷块岩、白云质磷块岩和含磷白云岩。,0.9
N00006,断裂,TectonicSetting,构造背景,研究区发育背斜和断裂构造，对矿体展布具有一定影响。,0.88
N00007,断裂构造,TectonicSetting,构造背景,研究区发育背斜和断裂构造，对矿体展布具有一定影响。,0.88
N00008,梅树村组含磷岩系,StratigraphicUnit,地层单元,羊场磷矿床位于滇东北地区，矿体主要赋存于寒武系梅树村组含磷岩系中。,0.8
N00009,浅海台地沉积环境,SedimentaryEnvironment,沉积环境,浅海台地沉积环境有利于磷质沉积和矿体形成。,0.86
N00010,白云岩,Lithology,岩性,含矿岩性主要为磷块岩、白云质磷块岩和含磷白云岩。,0.9
N00011,白云质磷块岩,Lithology,岩性,含矿岩性主要为磷块岩、白云质磷块岩和含磷白云岩。,0.9
N00012,矿体,Orebody,矿体,羊场磷矿床位于滇东北地区，矿体主要赋存于寒武系梅树村组含磷岩系中。,0.7
N00013,矿体主要赋存于寒武系,StratigraphicUnit,地层单元,羊场磷矿床位于滇东北地区，矿体主要赋存于寒武系梅树村组含磷岩系中。,0.8
N00014,矿层,OreBearingHorizon,含矿层位,P2O5 含量和矿层厚度是评价磷矿资源潜力的重要指标。,0.78
N00015,矿层厚度,ResourceAttribute,资源属性,P2O5 含量和矿层厚度是评价磷矿资源潜力的重要指标。,0.78
N00016,磷块岩,Lithology,岩性,含矿岩性主要为磷块岩、白云质磷块岩和含磷白云岩。,0.9
N00017,磷质沉积,ProspectingIndicator,找矿标志,浅海台地沉积环境有利于磷质沉积和矿体形成。,0.74
N00018,羊场磷矿床,Deposit,矿床,羊场磷矿床位于滇东北地区，矿体主要赋存于寒武系梅树村组含磷岩系中。,0.88
N00019,羊场磷矿床位于滇东北地区,Region,地区,羊场磷矿床位于滇东北地区，矿体主要赋存于寒武系梅树村组含磷岩系中。,0.78
N00020,背斜,TectonicSetting,构造背景,研究区发育背斜和断裂构造，对矿体展布具有一定影响。,0.88
N00021,资源潜力,ResourceAttribute,资源属性,P2O5 含量和矿层厚度是评价磷矿资源潜力的重要指标。,0.78
