source,target,source_name,target_name,relation_type,relation_type_cn,evidence,confidence
N00018,N00019,羊场磷矿床,羊场磷矿床位于滇东北地区,located_in,位于/分布于,羊场磷矿床位于滇东北地区，矿体主要赋存于寒武系梅树村组含磷岩系中。,0.86
N00018,N00002,羊场磷矿床,体主要赋存于寒武系梅树村组,hosted_by,赋存于,羊场磷矿床位于滇东北地区，矿体主要赋存于寒武系梅树村组含磷岩系中。,0.84
N00018,N00013,羊场磷矿床,矿体主要赋存于寒武系,hosted_by,赋存于,羊场磷矿床位于滇东北地区，矿体主要赋存于寒武系梅树村组含磷岩系中。,0.84
N00018,N00008,羊场磷矿床,梅树村组含磷岩系,hosted_by,赋存于,羊场磷矿床位于滇东北地区，矿体主要赋存于寒武系梅树村组含磷岩系中。,0.84
N00018,N00004,羊场磷矿床,含磷岩系,hosted_by,赋存于,羊场磷矿床位于滇东北地区，矿体主要赋存于寒武系梅树村组含磷岩系中。,0.84
N00018,N00011,羊场磷矿床,白云质磷块岩,has_lithology,具有岩性,含矿岩性主要为磷块岩、白云质磷块岩和含磷白云岩。,0.86
N00018,N00005,羊场磷矿床,含磷白云岩,has_lithology,具有岩性,含矿岩性主要为磷块岩、白云质磷块岩和含磷白云岩。,0.86
N00018,N00016,羊场磷矿床,磷块岩,has_lithology,具有岩性,含矿岩性主要为磷块岩、白云质磷块岩和含磷白云岩。,0.86
N00018,N00010,羊场磷矿床,白云岩,has_lithology,具有岩性,含矿岩性主要为磷块岩、白云质磷块岩和含磷白云岩。,0.86
N00018,N00007,羊场磷矿床,断裂构造,controlled_by,受控于,研究区发育背斜和断裂构造，对矿体展布具有一定影响。,0.82
N00018,N00006,羊场磷矿床,断裂,controlled_by,受控于,研究区发育背斜和断裂构造，对矿体展布具有一定影响。,0.82
N00018,N00020,羊场磷矿床,背斜,controlled_by,受控于,研究区发育背斜和断裂构造，对矿体展布具有一定影响。,0.82
N00018,N00007,羊场磷矿床,断裂构造,developed_in,发育于,研究区发育背斜和断裂构造，对矿体展布具有一定影响。,0.68
N00018,N00006,羊场磷矿床,断裂,developed_in,发育于,研究区发育背斜和断裂构造，对矿体展布具有一定影响。,0.68
N00018,N00020,羊场磷矿床,背斜,developed_in,发育于,研究区发育背斜和断裂构造，对矿体展布具有一定影响。,0.68
N00001,N00021,P2O5 含量,资源潜力,indicates,指示,P2O5 含量和矿层厚度是评价磷矿资源潜力的重要指标。,0.8
N00015,N00021,矿层厚度,资源潜力,indicates,指示,P2O5 含量和矿层厚度是评价磷矿资源潜力的重要指标。,0.8
N00003,N00021,厚度,资源潜力,indicates,指示,P2O5 含量和矿层厚度是评价磷矿资源潜力的重要指标。,0.8
N00018,N00001,羊场磷矿床,P2O5 含量,has_geochemical_feature,具有地球化学特征,P2O5 含量和矿层厚度是评价磷矿资源潜力的重要指标。,0.66
N00018,N00015,羊场磷矿床,矿层厚度,has_resource,具有资源属性,P2O5 含量和矿层厚度是评价磷矿资源潜力的重要指标。,0.66
N00018,N00003,羊场磷矿床,厚度,has_resource,具有资源属性,P2O5 含量和矿层厚度是评价磷矿资源潜力的重要指标。,0.66
N00009,N00017,浅海台地沉积环境,磷质沉积,favorable_for,有利于,浅海台地沉积环境有利于磷质沉积和矿体形成。,0.84
