review_id,item_kind,item_id,field,original_value,is_valid,suggested_value,action,message,need_review
OE-0001,entity,E-0001,entity_type,GeochemicalIndicator,True,GeochemicalIndicator,通过,实体类型符合本体,False
OE-0002,entity,E-0002,entity_type,StratigraphicUnit,True,StratigraphicUnit,通过,实体类型符合本体,False
OE-0003,entity,E-0003,entity_type,ResourceAttribute,True,ResourceAttribute,通过,实体类型符合本体,False
OE-0004,entity,E-0004,entity_type,OreBearingHorizon,True,OreBearingHorizon,通过,实体类型符合本体,False
OE-0005,entity,E-0005,entity_type,Lithology,True,Lithology,通过,实体类型符合本体,False
OE-0006,entity,E-0006,entity_type,TectonicSetting,True,TectonicSetting,通过,实体类型符合本体,False
OE-0007,entity,E-0007,entity_type,TectonicSetting,True,TectonicSetting,通过,实体类型符合本体,False
OE-0008,entity,E-0008,entity_type,StratigraphicUnit,True,StratigraphicUnit,通过,实体类型符合本体,False
OE-0009,entity,E-0009,entity_type,SedimentaryEnvironment,True,SedimentaryEnvironment,通过,实体类型符合本体,False
OE-0010,entity,E-0010,entity_type,Lithology,True,Lithology,通过,实体类型符合本体,False
OE-0011,entity,E-0011,entity_type,Lithology,True,Lithology,通过,实体类型符合本体,False
OE-0012,entity,E-0012,entity_type,Orebody,True,Orebody,通过,实体类型符合本体,True
OE-0013,entity,E-0013,entity_type,StratigraphicUnit,True,StratigraphicUnit,通过,实体类型符合本体,False
OE-0014,entity,E-0014,entity_type,OreBearingHorizon,True,OreBearingHorizon,通过,实体类型符合本体,False
OE-0015,entity,E-0015,entity_type,ResourceAttribute,True,ResourceAttribute,通过,实体类型符合本体,False
OE-0016,entity,E-0016,entity_type,Lithology,True,Lithology,通过,实体类型符合本体,False
OE-0017,entity,E-0017,entity_type,ProspectingIndicator,True,ProspectingIndicator,通过,实体类型符合本体,True
OE-0018,entity,E-0018,entity_type,Deposit,True,Deposit,通过,实体类型符合本体,False
OE-0019,entity,E-0019,entity_type,Region,True,Region,通过,实体类型符合本体,False
OE-0020,entity,E-0020,entity_type,TectonicSetting,True,TectonicSetting,通过,实体类型符合本体,False
OE-0021,entity,E-0021,entity_type,ResourceAttribute,True,ResourceAttribute,通过,实体类型符合本体,False
OR-0001,relation,R-0001,relation,located_in,True,located_in,通过,关系类型符合本体,False
OR-0002,relation,R-0002,relation,hosted_by,True,hosted_by,通过,关系类型符合本体,False
OR-0003,relation,R-0003,relation,hosted_by,True,hosted_by,通过,关系类型符合本体,False
OR-0004,relation,R-0004,relation,hosted_by,True,hosted_by,通过,关系类型符合本体,False
OR-0005,relation,R-0005,relation,hosted_by,True,hosted_by,通过,关系类型符合本体,False
OR-0006,relation,R-0006,relation,has_lithology,True,has_lithology,通过,关系类型符合本体,False
OR-0007,relation,R-0007,relation,has_lithology,True,has_lithology,通过,关系类型符合本体,False
OR-0008,relation,R-0008,relation,has_lithology,True,has_lithology,通过,关系类型符合本体,False
OR-0009,relation,R-0009,relation,has_lithology,True,has_lithology,通过,关系类型符合本体,False
OR-0010,relation,R-0010,relation,controlled_by,True,controlled_by,通过,关系类型符合本体,False
OR-0011,relation,R-0011,relation,controlled_by,True,controlled_by,通过,关系类型符合本体,False
OR-0012,relation,R-0012,relation,controlled_by,True,controlled_by,通过,关系类型符合本体,False
OR-0013,relation,R-0013,relation,developed_in,False,developed_in,建议映射,关系类型符合本体,True
OR-0014,relation,R-0014,relation,developed_in,False,developed_in,建议映射,关系类型符合本体,True
OR-0015,relation,R-0015,relation,developed_in,False,developed_in,建议映射,关系类型符合本体,True
OR-0016,relation,R-0016,relation,indicates,True,indicates,通过,关系类型符合本体,False
OR-0017,relation,R-0017,relation,indicates,True,indicates,通过,关系类型符合本体,False
OR-0018,relation,R-0018,relation,indicates,True,indicates,通过,关系类型符合本体,False
OR-0019,relation,R-0019,relation,has_geochemical_feature,False,has_geochemical_feature,建议映射,关系类型符合本体,True
OR-0020,relation,R-0020,relation,has_resource,False,has_resource,建议映射,关系类型符合本体,True
OR-0021,relation,R-0021,relation,has_resource,False,has_resource,建议映射,关系类型符合本体,True
OR-0022,relation,R-0022,relation,favorable_for,True,favorable_for,通过,关系类型符合本体,False
